Index	Title	Pmid	PubYear	LastAuthor	ArticleID	TableID	NeuronName	NeuronLongName	BrainRegion	MetadataCurated	Species	Strain	ElectrodeType	PrepType	JxnPotential	JxnOffset	RecTemp	AnimalAge	AnimalWeight	FlagSoln	ExternalSolution	ExternalSolution_conf	external_0_Mg	external_0_Ca	external_0_Na	external_0_Cl	external_0_K	external_0_pH	InternalSolution	InternalSolution_conf	internal_0_Mg	internal_0_Ca	internal_0_Na	internal_0_Cl	internal_0_K	internal_0_pH	input resistance	resting membrane potential	spike threshold	spike amplitude	spike half-width	membrane time constant	AHP amplitude	spike width	cell capacitance	AHP duration	rheobase	firing frequency	sag ratio	adaptation ratio	fast AHP amplitude	spike peak	maximum firing rate	spontaneous firing rate	other	FI slope	first spike latency	slow AHP amplitude	spike max rise slope	ADP amplitude	sag amplitude	spike max decay slope	spike rise time	spike decay time	fast AHP duration	access resistance	cell diameter	slow AHP duration	medium AHP amplitude	cell surface area	medium AHP duration	ADP duration
603	Lateral hypothalamic GAD65 neurons are spontaneously firing and distinct from orexin- and melanin-concentrating hormone neurons.	23184514	2013	Burdakov D	72180	16055.0	Other	Lateral hypothalamus GAD65-GFP regular spiking neurons		True	Mice	GAD65-GFP	Patch-clamp	in vitro	Corrected	10.1	37.0	35.4964786986			Artificial cerebrospinal fluid (ACSF) was always continuously gassed with 95% O2 and 5% CO2 and contained (in mm): 125 NaCl, 2.5 KCl, 2 MgCl2, 2 CaCl2, 1.2 NaH2PO4, 21 NaHCO3 and 1 d-(+)-glucose. 	5.0	2.0	2.0	147.2	135.5	2.5		The intracellular (pipette) solution contained (in mm): 120 potassium gluconate, 10 KCl, 0.1 EGTA, 10 Hepes, 5 K2ATP, 1 NaCl, 2 MgCl2, 0.2% biocytin; pH set to 7.3 with KOH.	5.0	2.0		1.0	15.0	140.0	7.3	646.0	-48.3	-38.1	59.2	0.64	25.0	25.7		15.5			50.7		0.5			105.2	9.5					220.4					0.47								
604	Lateral hypothalamic GAD65 neurons are spontaneously firing and distinct from orexin- and melanin-concentrating hormone neurons.	23184514	2013	Burdakov D	72180	16055.0	Other	Lateral hypothalamus GAD65-GFP low-threshold spiking neurons		True	Mice	GAD65-GFP	Patch-clamp	in vitro	Corrected	10.1	37.0	35.4964786986			Artificial cerebrospinal fluid (ACSF) was always continuously gassed with 95% O2 and 5% CO2 and contained (in mm): 125 NaCl, 2.5 KCl, 2 MgCl2, 2 CaCl2, 1.2 NaH2PO4, 21 NaHCO3 and 1 d-(+)-glucose. 	5.0	2.0	2.0	147.2	135.5	2.5		The intracellular (pipette) solution contained (in mm): 120 potassium gluconate, 10 KCl, 0.1 EGTA, 10 Hepes, 5 K2ATP, 1 NaCl, 2 MgCl2, 0.2% biocytin; pH set to 7.3 with KOH.	5.0	2.0		1.0	15.0	140.0	7.3	416.0	-51.7	-38.8	63.0	0.6	25.0	23.4		16.3			50.6		0.39			135.7	8.1					226.9					0.44								
605	Lateral hypothalamic GAD65 neurons are spontaneously firing and distinct from orexin- and melanin-concentrating hormone neurons.	23184514	2013	Burdakov D	72180	16055.0	Other	Lateral hypothalamus GAD65-GFP fast spiking neurons		True	Mice	GAD65-GFP	Patch-clamp	in vitro	Corrected	10.1	37.0	35.4964786986			Artificial cerebrospinal fluid (ACSF) was always continuously gassed with 95% O2 and 5% CO2 and contained (in mm): 125 NaCl, 2.5 KCl, 2 MgCl2, 2 CaCl2, 1.2 NaH2PO4, 21 NaHCO3 and 1 d-(+)-glucose. 	5.0	2.0	2.0	147.2	135.5	2.5		The intracellular (pipette) solution contained (in mm): 120 potassium gluconate, 10 KCl, 0.1 EGTA, 10 Hepes, 5 K2ATP, 1 NaCl, 2 MgCl2, 0.2% biocytin; pH set to 7.3 with KOH.	5.0	2.0		1.0	15.0	140.0	7.3	463.0	-53.7	-40.4	73.8	0.41	28.5	25.1		16.9			103.6		0.39			257.5	8.9					334.2					0.23								
795	Tonic mGluR5/CB1-dependent suppression of inhibition as a pathophysiological hallmark in the striatum of mice carrying a mutant form of huntingtin.	23230231	2013	Grantyn R	73099	16778.0	Neostriatum medium spiny neuron		Striatum	True	Mice	Mouse, Transgenic	Patch-clamp	in vitro	Not corrected		23.5	78.0	30.15		at room temperature in artificial cerebrospinal fluid (ACSF) that contained (mm): 125 NaCl, 2 KCl, 10 glucose, 1.25 NaH2PO4, 25 NaHCO3, 2 CaCl2 and 1 MgCl2; the pH was buffered to 7.3 by continuous bubbling with a 5% CO2–95% O2 mixture.	5.0	1.0	2.0	151.25	133.0	2.0	7.3	the intrapipette solution contained (mm): 100 potassium gluconate, 50 KCl, 5 NaCl, 0.5 CaCl2, 5 EGTA, 25 Hepes, 2 MgATP and 0.3 GTP; the pH was set to 7.2 with KOH	5.0	2.0	0.5	5.0	56.0	150.0	7.2	59.2	-69.5							79.7		189.6																									
403	Tonic inhibition sets the state of excitability in olfactory bulb granule cells.	23318869	2013	Angelo K	85543		Olfactory bulb (main) Blanes cell		Olfactory areas	True	Mice	C57BL	Patch-clamp	in vivo	Unreported		36.0	27.3861278753																					-46.6	38.1																																
386	Tonic inhibition sets the state of excitability in olfactory bulb granule cells.	23318869	2013	Angelo K	85543		Olfactory bulb (main) granule cell		Olfactory areas	True	Mice	C57BL	Patch-clamp	in vivo	Unreported		36.0	27.3861278753																			384.0		-39.2	31.0																																
444	Voltage-dependent intrinsic bursting in olfactory bulb Golgi cells.	23950193	2013	Strowbridge BW	85548		Olfactory bulb (main) Blanes cell		Olfactory areas	True	Rats	Sprague-Dawley	Patch-clamp	in vitro	Unreported		30.0	18.7082869339																			313.0	-66.0	-39.9	81.8	2.03																															
446	Voltage-dependent intrinsic bursting in olfactory bulb Golgi cells.	23950193	2013	Strowbridge BW	85548		Olfactory bulb (main) granule cell		Olfactory areas	True	Rats	Sprague-Dawley	Patch-clamp	in vitro	Unreported		30.0	18.7082869339																			789.0	-67.3	-22.2	60.5	2.08																															
452	Origins of correlated spiking in the mammalian olfactory bulb.	24082089	2013	Urban NN	85556		Olfactory bulb (main) mitral cell		Olfactory areas	True	Mice	C57BL		in vivo	Unreported																																	3.1415																								
782	Local circuitry involving parvalbumin-positive basket cells in the CA2 region of the hippocampus.	20882544	2012	Thomson AM	26878	20317.0	Hippocampus CA1 basket cell	Hippocampus CA1 parvalbumin-expressing basket cell	Hippocampal formation	True	Rats		Sharp	in vitro	Unreported				145.0		 standard ACSF (in mM: 124 NaCl, 25.5 NaHCO3, 3.3 KCl, 1.2 KH2PO4, 1 MgSO4, 2.5 CaCl2, 15 D-glucose).	5.0	1.0	2.5	149.5	132.3	4.5		Paired intracellular recordings were made using sharp microelectrodes (tip resistance 90–190 MΩ) filled with a solution of 2% Biocytin in 2 M KMeSO4 under current-clamp conditions. 	5.0					2.0		69.8	-71.1				10.2																			0.1											
781	Local circuitry involving parvalbumin-positive basket cells in the CA2 region of the hippocampus.	20882544	2012	Thomson AM	26878	20317.0	Hippocampus CA2 basket cell broad	Hippocampus CA2 dendritic wide arbor basket parvalbumin-expressing cell		True	Rats		Sharp	in vitro	Unreported				145.0		 standard ACSF (in mM: 124 NaCl, 25.5 NaHCO3, 3.3 KCl, 1.2 KH2PO4, 1 MgSO4, 2.5 CaCl2, 15 D-glucose).	5.0	1.0	2.5	149.5	132.3	4.5		Paired intracellular recordings were made using sharp microelectrodes (tip resistance 90–190 MΩ) filled with a solution of 2% Biocytin in 2 M KMeSO4 under current-clamp conditions. 	5.0					2.0		96.0	-72.0				10.5																			12.9											
783	Local circuitry involving parvalbumin-positive basket cells in the CA2 region of the hippocampus.	20882544	2012	Thomson AM	26878	20317.0	Other	Hippocampus CA2 narrow dendritic arbor basket parvalbumin-expressing cell		True	Rats		Sharp	in vitro	Unreported				145.0		 standard ACSF (in mM: 124 NaCl, 25.5 NaHCO3, 3.3 KCl, 1.2 KH2PO4, 1 MgSO4, 2.5 CaCl2, 15 D-glucose).	5.0	1.0	2.5	149.5	132.3	4.5		Paired intracellular recordings were made using sharp microelectrodes (tip resistance 90–190 MΩ) filled with a solution of 2% Biocytin in 2 M KMeSO4 under current-clamp conditions. 	5.0					2.0		79.0	-71.5				10.3																			0.6											
699	Target-specific output patterns are predicted by the distribution of regular-spiking and bursting pyramidal neurons in the subiculum.	21538658	2012	Spruston N	76245	19522.0	Abducens nucleus motor neuron	subiculum pyramidal neuron projecting to thalamic nucleus	Medulla	True	Rats	Wistar	Patch-clamp	in vitro	Unreported		34.0		250.0		Three hundred-micrometer-thick horizontal slices were sectioned from the injected hemisphere using a vibrating tissue slicer (Vibratome 3000) and were transferred to a suspended mesh within a chamber filled with artificial cerebrospinal fluid (ACSF) containing in mM: 119 NaCl, 2.5 KCl, 1.25 NaH2PO4, 25 NaHCO3, 25 dextrose, 2 CaCl2, and 1 MgCl2 (pH 7.4, oxygenated with 95% CO2 and 5% O2) at 35°C.	5.0	1.0	2.0	145.25	127.5	2.5	7.4	Whole-cell current-clamp recordings were performed from the retrogradely labeled neurons identified under epifluorescent illumination using patch pipettes with resistances of 3–5 MΩ when filled with an intracellular solution containing (in mM): 115 K-gluconate, 20 KCl, 10 Na2-phosphocreatine, 10 HEPES, 4 Mg-ATP, 0.3 Na-GTP, and 0.1% biocytin.	5.0	4.0		40.3	20.0	135.0		53.6	-69.5	-51.3	90.6	0.64								1.58										359.0			-129.0										
408	Target-specific output patterns are predicted by the distribution of regular-spiking and bursting pyramidal neurons in the subiculum.	21538658	2012	Spruston N	76245	19522.0	Subiculum pyramidal cell	subiculum bursting pyramidal neuron	Hippocampal formation	True	Rats	Wistar	Patch-clamp	in vitro	Unreported		34.0		250.0		Three hundred-micrometer-thick horizontal slices were sectioned from the injected hemisphere using a vibrating tissue slicer (Vibratome 3000) and were transferred to a suspended mesh within a chamber filled with artificial cerebrospinal fluid (ACSF) containing in mM: 119 NaCl, 2.5 KCl, 1.25 NaH2PO4, 25 NaHCO3, 25 dextrose, 2 CaCl2, and 1 MgCl2 (pH 7.4, oxygenated with 95% CO2 and 5% O2) at 35°C.	5.0	1.0	2.0	145.25	127.5	2.5	7.4	Whole-cell current-clamp recordings were performed from the retrogradely labeled neurons identified under epifluorescent illumination using patch pipettes with resistances of 3–5 MΩ when filled with an intracellular solution containing (in mM): 115 K-gluconate, 20 KCl, 10 Na2-phosphocreatine, 10 HEPES, 4 Mg-ATP, 0.3 Na-GTP, and 0.1% biocytin.	5.0	4.0		40.3	20.0	135.0		41.6	-69.7	-52.2	75.3	0.66								1.02040816327										367.0			-133.0										
409	Target-specific output patterns are predicted by the distribution of regular-spiking and bursting pyramidal neurons in the subiculum.	21538658	2012	Spruston N	76245	19522.0	Subiculum pyramidal cell	subiculum regular spiking pyramidal neuron	Hippocampal formation	True	Rats	Wistar	Patch-clamp	in vitro	Unreported		34.0		250.0		Three hundred-micrometer-thick horizontal slices were sectioned from the injected hemisphere using a vibrating tissue slicer (Vibratome 3000) and were transferred to a suspended mesh within a chamber filled with artificial cerebrospinal fluid (ACSF) containing in mM: 119 NaCl, 2.5 KCl, 1.25 NaH2PO4, 25 NaHCO3, 25 dextrose, 2 CaCl2, and 1 MgCl2 (pH 7.4, oxygenated with 95% CO2 and 5% O2) at 35°C.	5.0	1.0	2.0	145.25	127.5	2.5	7.4	Whole-cell current-clamp recordings were performed from the retrogradely labeled neurons identified under epifluorescent illumination using patch pipettes with resistances of 3–5 MΩ when filled with an intracellular solution containing (in mM): 115 K-gluconate, 20 KCl, 10 Na2-phosphocreatine, 10 HEPES, 4 Mg-ATP, 0.3 Na-GTP, and 0.1% biocytin.	5.0	4.0		40.3	20.0	135.0		60.8	-68.4	-50.5	73.3	0.72								0.641025641026										341.0			-118.0										
694	Target-specific output patterns are predicted by the distribution of regular-spiking and bursting pyramidal neurons in the subiculum.	21538658	2012	Spruston N	76245	19522.0	Subiculum pyramidal cell	subiculum pyramidal neuron projecting to presubiculum	Hippocampal formation	True	Rats	Wistar	Patch-clamp	in vitro	Unreported		34.0		250.0		Three hundred-micrometer-thick horizontal slices were sectioned from the injected hemisphere using a vibrating tissue slicer (Vibratome 3000) and were transferred to a suspended mesh within a chamber filled with artificial cerebrospinal fluid (ACSF) containing in mM: 119 NaCl, 2.5 KCl, 1.25 NaH2PO4, 25 NaHCO3, 25 dextrose, 2 CaCl2, and 1 MgCl2 (pH 7.4, oxygenated with 95% CO2 and 5% O2) at 35°C.	5.0	1.0	2.0	145.25	127.5	2.5	7.4	Whole-cell current-clamp recordings were performed from the retrogradely labeled neurons identified under epifluorescent illumination using patch pipettes with resistances of 3–5 MΩ when filled with an intracellular solution containing (in mM): 115 K-gluconate, 20 KCl, 10 Na2-phosphocreatine, 10 HEPES, 4 Mg-ATP, 0.3 Na-GTP, and 0.1% biocytin.	5.0	4.0		40.3	20.0	135.0		47.4	-68.7	-52.2	93.0	0.68								1.74										354.0			-138.0										
695	Target-specific output patterns are predicted by the distribution of regular-spiking and bursting pyramidal neurons in the subiculum.	21538658	2012	Spruston N	76245	19522.0	Subiculum pyramidal cell	subiculum pyramidal neuron projecting to ventromedial hypothalamus	Hippocampal formation	True	Rats	Wistar	Patch-clamp	in vitro	Unreported		34.0		250.0		Three hundred-micrometer-thick horizontal slices were sectioned from the injected hemisphere using a vibrating tissue slicer (Vibratome 3000) and were transferred to a suspended mesh within a chamber filled with artificial cerebrospinal fluid (ACSF) containing in mM: 119 NaCl, 2.5 KCl, 1.25 NaH2PO4, 25 NaHCO3, 25 dextrose, 2 CaCl2, and 1 MgCl2 (pH 7.4, oxygenated with 95% CO2 and 5% O2) at 35°C.	5.0	1.0	2.0	145.25	127.5	2.5	7.4	Whole-cell current-clamp recordings were performed from the retrogradely labeled neurons identified under epifluorescent illumination using patch pipettes with resistances of 3–5 MΩ when filled with an intracellular solution containing (in mM): 115 K-gluconate, 20 KCl, 10 Na2-phosphocreatine, 10 HEPES, 4 Mg-ATP, 0.3 Na-GTP, and 0.1% biocytin.	5.0	4.0		40.3	20.0	135.0		45.9	-70.3	-52.7	93.2	0.62								1.24										374.0			-141.0										
696	Target-specific output patterns are predicted by the distribution of regular-spiking and bursting pyramidal neurons in the subiculum.	21538658	2012	Spruston N	76245	19522.0	Subiculum pyramidal cell	subiculum pyramidal neuron projecting to retrosplenial cortex	Hippocampal formation	True	Rats	Wistar	Patch-clamp	in vitro	Unreported		34.0		250.0		Three hundred-micrometer-thick horizontal slices were sectioned from the injected hemisphere using a vibrating tissue slicer (Vibratome 3000) and were transferred to a suspended mesh within a chamber filled with artificial cerebrospinal fluid (ACSF) containing in mM: 119 NaCl, 2.5 KCl, 1.25 NaH2PO4, 25 NaHCO3, 25 dextrose, 2 CaCl2, and 1 MgCl2 (pH 7.4, oxygenated with 95% CO2 and 5% O2) at 35°C.	5.0	1.0	2.0	145.25	127.5	2.5	7.4	Whole-cell current-clamp recordings were performed from the retrogradely labeled neurons identified under epifluorescent illumination using patch pipettes with resistances of 3–5 MΩ when filled with an intracellular solution containing (in mM): 115 K-gluconate, 20 KCl, 10 Na2-phosphocreatine, 10 HEPES, 4 Mg-ATP, 0.3 Na-GTP, and 0.1% biocytin.	5.0	4.0		40.3	20.0	135.0		44.7	-69.3	-53.0	94.2	0.57								1.38										379.0			-169.0										
697	Target-specific output patterns are predicted by the distribution of regular-spiking and bursting pyramidal neurons in the subiculum.	21538658	2012	Spruston N	76245	19522.0	Subiculum pyramidal cell	subiculum pyramidal neuron projecting to lateral entorhinal cortex	Hippocampal formation	True	Rats	Wistar	Patch-clamp	in vitro	Unreported		34.0		250.0		Three hundred-micrometer-thick horizontal slices were sectioned from the injected hemisphere using a vibrating tissue slicer (Vibratome 3000) and were transferred to a suspended mesh within a chamber filled with artificial cerebrospinal fluid (ACSF) containing in mM: 119 NaCl, 2.5 KCl, 1.25 NaH2PO4, 25 NaHCO3, 25 dextrose, 2 CaCl2, and 1 MgCl2 (pH 7.4, oxygenated with 95% CO2 and 5% O2) at 35°C.	5.0	1.0	2.0	145.25	127.5	2.5	7.4	Whole-cell current-clamp recordings were performed from the retrogradely labeled neurons identified under epifluorescent illumination using patch pipettes with resistances of 3–5 MΩ when filled with an intracellular solution containing (in mM): 115 K-gluconate, 20 KCl, 10 Na2-phosphocreatine, 10 HEPES, 4 Mg-ATP, 0.3 Na-GTP, and 0.1% biocytin.	5.0	4.0		40.3	20.0	135.0		52.3	-68.0	-49.0	90.5	0.74								1.72										345.0			-109.0										
