Ephys parameters	Definitions (most common)	Standardization criteria	Standardized?	synonyms	usual units	unit_main	unit_sub	NeuroElectro ID	NeuroLex ID	Transform	Short name	Min Range	Max Range
spike peak	Maximum voltage reached during AP	Values corrected to reflect differences in units, but are otherwise unchanged. Since authors use different APs for defining spike peak (e.g., evoked using rheobase current, via synaptic input, etc.), please refer to individual articles for specific methodology.	Yes	AP peak, spike overshoot, action potential overshoot, overshoot, AP overshoot	mV	V	m	25	oen_0001002	linear	ap_peak	-30	100
adaptation ratio	Ratio of durations between early and late AP inter-spike intervals in an AP train	Values have been manually standardized to reflect ratio of early to late AP inter-spike intervals. Note however that authors use different early and late inter-spike intervals used in definition calculation which has not been accounted for. Refer to individual articles for specific details.	Yes	adaptation percent, spike accomodation, AP accomodation, adaptation index	ratio	ratio		26	oen_0001000	linear	adaptation	-1	2
first spike latency	Duration to first AP following a depolarizing current step of fixed amplitude	Values are unchanged from those reported. Since authors use different APs for defining first spike latency (e.g., evoked using rheobase current, via synaptic input, etc.), please refer to individual articles for specific methodology.	No	1st AP time, spike latency, AP delay, first AP latency	ms	s	m	27	oen_0001001	linear	spike_delay		
spike rise time	Time for spike to rise from threshold to peak, usually calculated as 10-90% rise time	Values are unchanged from those reported. Values currently lump multiple measures of spike rise time. Refer to individual articles for definition and calculation methodology.	No	AP rise time, spike rise, AP rise, AP 10-90% rise time, spike 10-90% rise time, action potential rise time	ms	s	m	28		linear	ap_rise_time	0.01	10
spike decay time	Time for spike to fall from peak to threshold, usually calculated as 10-90% decay time	Values are unchanged from those reported. Values currently lump multiple measures of spike decay time. Refer to individual articles for definition and calculation methodology.	No	AP decay time, AP decay, spike fall time, AP fall time, AP 10-90% decay time, spike 10-90% decay time, AP 10-90% fall time, spike 10-90% fall time, action potential decay time	ms	s	m	29		linear	ap_decay_time	0.01	10
spike max rise slope	Maximum rate of rise of membrane voltage during spike rising phase	Values are unchanged from those reported. Refer to individual articles for definition and calculation methodology.	No	peak AP rise slope, max AP rise slope, AP upstroke, upstroke velocity, spike upstroke, AP rising rate, AP rising slope	mV/ms	mV/ms		30		linear	ap_rise_slope		
spike max decay slope	Maximum rate of rise of membrane voltage during spike falling phase	Values are unchanged from those reported. Refer to individual articles for definition and calculation methodology.	No	peak AP decay slope, max AP decay slope, AP downstroke, downstroke velocity, spike downstroke, AP falling rate, AP falling slope	mV/ms	mV/ms		31		linear	ap_decay_slope		
sag amplitude	Absolute difference between the steady state decrease in the voltage and the largest decrease in voltage following a hyperpolarizing current step.	Values are unchanged from those reported. Refer to individual articles for definition and calculation methodology.	No	sag voltage, sag, ih voltage, ih amplitude, ih sag	mV	V	m	32		linear	sag_amp		
maximum firing rate	Maximum observed AP discharge rate	Values are unchanged from those reported. Refer to individual articles for definition and calculation methodology.	Yes	peak firing rate, peak FR, max spike rate, max frequency, maximal firing, max firing frequency	Hz	Hz		33		log10	max_freq	0	2000
medium AHP amplitude	Calculated as the difference between AP threshold and AP trough, explictly refered to by author as medium	Values have been algorithmically standardized to correspond to calculation definition of difference between AP threshold and AHP trough. Since authors use different definitions for “fast” and which APs are used for defining AHP amplitudes (e.g., evoked using rheobase current, via synaptic input, etc.), please refer to individual articles for specific methodology.	Yes	mAHP size, mAHP amp, mAHP amplitude, medium AHP amplitude, medium AHP size	mV	V	m	34		linear	med_ahp_amp	0	50
medium AHP duration	Duration of AP after-hyperpolarization, explictly refered to by author as medium	Values are unchanged from those reported. Refer to individual articles for definition and calculation methodology.	No	mAHP duration, mAHP time, medium AHP duration, medium AHP time	ms	s	m	35		linear	med_ahp_dur		
other	A catch-all property to reflect any properties which are not already explicitly defined	Values are unchanged from those reported. Refer to individual articles for definition and calculation methodology.	No							linear	other		
